station_name,line,fact,place_name,place_type,place_description,walking_minutes
Площадь Революции,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Архитектор А.Н. Душкин. 76 бронзовых фигур (скульптор Манизер).,Никольская улица,Улица,Пешеходная улица с барами.,3
Площадь Революции,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Архитектор А.Н. Душкин. 76 бронзовых фигур (скульптор Манизер).,Исторический музей,Музей,Главный музей истории России.,7
Курская,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Пересадочный узел. Архитекторы Л.М. Поляков и др.,Курский вокзал,Транспортный узел,Вокзал южного направления.,2
Курская,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Пересадочный узел. Архитекторы Л.М. Поляков и др.,Атриум,ТЦ,Крупный ТЦ у метро.,1
Курская,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Пересадочный узел. Архитекторы Л.М. Поляков и др.,Чистые пруды (начало),Парк,Начало Чистопрудного бульвара.,10
Курская,Арбатско-Покровская линия,Открыта 13 марта 1938 года. Пересадочный узел. Архитекторы Л.М. Поляков и др.,МХТ им. Чехова,Театр,Легендарный театр.,12
Бауманская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Названа в честь революционера Баумана.,Елоховский собор (Богоявленский собор в Елохове),Храм,Главный храм Русской православной церкви в советское время.,5
Бауманская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Названа в честь революционера Баумана.,Парк «Сокольники» (южный вход),Парк,Вход в парк Сокольники.,8
Бауманская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Названа в честь революционера Баумана.,Площадь Разгуляй,Площадь,Старинная площадь. Памятник Бауману.,3
Бауманская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Названа в честь революционера Баумана.,Сады и огороды усадьбы Лефортово,Парк,Часть усадьбы. Тенистые аллеи.,10
Электрозаводская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Пилоны с лампами-светильниками.,Электрозавод (историческое здание),Достопримечательность,Памятник промышленной архитектуры.,3
Электрозаводская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Пилоны с лампами-светильниками.,Парк «Семёновский»,Парк,Небольшой парк с фонтаном.,6
Электрозаводская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Пилоны с лампами-светильниками.,ТЦ «Электро»,ТЦ,ТЦ с техникой и товарами для дома.,4
Электрозаводская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Архитекторы Б.М. Иофан и др. Пилоны с лампами-светильниками.,Храм Троицы Живоначальной в Семёновском,Храм,Старинный храм XVIII века.,8
Семёновская,Арбатско-Покровская линия,Открыта 18 января 1944 года. До 1961 года — «Сталинская». Архитекторы Б.М. Иофан и др.,Парк «Семёновский»,Парк,Зелёная зона с прудом.,3
Семёновская,Арбатско-Покровская линия,Открыта 18 января 1944 года. До 1961 года — «Сталинская». Архитекторы Б.М. Иофан и др.,Ковровый комбинат (история),Достопримечательность,Бывший текстильный гигант.,5
Семёновская,Арбатско-Покровская линия,Открыта 18 января 1944 года. До 1961 года — «Сталинская». Архитекторы Б.М. Иофан и др.,Железнодорожный вокзал «Семёновская»,Транспортный узел,МЦК рядом.,4
Партизанская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Изначально — «Измайловская». Архитектор Б.С. Виленский.,Измайловский парк культуры и отдыха,Парк,Огромный лесопарк. Шашлыки и лодки.,3
Партизанская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Изначально — «Измайловская». Архитектор Б.С. Виленский.,Измайловский Кремль,Культура,Неоготический комплекс с музеями и блошиным рынком.,8
Партизанская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Изначально — «Измайловская». Архитектор Б.С. Виленский.,Стадион «Измайлово»,Стадион,Спортивный комплекс.,6
Партизанская,Арбатско-Покровская линия,Открыта 18 января 1944 года. Изначально — «Измайловская». Архитектор Б.С. Виленский.,Серебряно-Виноградный пруд,Парк,Пруд в Измайловском парке.,5
Измайловская,Арбатско-Покровская линия,Открыта 15 октября 1961 года. Архитектор И.Г. Таранов. Колонны с дубовыми листьями.,Измайловский парк,Парк,Главный вход в парк.,2
Измайловская,Арбатско-Покровская линия,Открыта 15 октября 1961 года. Архитектор И.Г. Таранов. Колонны с дубовыми листьями.,Вернисаж в Измайлово,Рынок,Блошиный рынок. Матрёшки и сувениры.,5
Измайловская,Арбатско-Покровская линия,Открыта 15 октября 1961 года. Архитектор И.Г. Таранов. Колонны с дубовыми листьями.,Памятник актёрам «Сатирикона»,Памятник,Скульптура Константина Райкина.,7
Первомайская,Арбатско-Покровская линия,Открыта 21 октября 1961 года. Старая станция глубокого заложения.,Измайловский парк (восточная часть),Парк,Лесопарк для прогулок.,4
Первомайская,Арбатско-Покровская линия,Открыта 21 октября 1961 года. Старая станция глубокого заложения.,Храм Спаса Преображения в Измайлове,Храм,Старинный храм XVII века.,6
Первомайская,Арбатско-Покровская линия,Открыта 21 октября 1961 года. Старая станция глубокого заложения.,Улица Первомайская,Улица,Сталинская застройка.,2
Щёлковская,Арбатско-Покровская линия,Открыта 22 июля 1963 года. Архитекторы И.Г. Таранов и Н.А. Быкова. Конечная до 2012 года.,Парк «Сиреневый сад»,Парк,Уникальный парк с коллекцией сирени.,5
Щёлковская,Арбатско-Покровская линия,Открыта 22 июля 1963 года. Архитекторы И.Г. Таранов и Н.А. Быкова. Конечная до 2012 года.,ТРЦ «Щёлково»,ТЦ,Крупный ТЦ с кинотеатром.,3
Щёлковская,Арбатско-Покровская линия,Открыта 22 июля 1963 года. Архитекторы И.Г. Таранов и Н.А. Быкова. Конечная до 2012 года.,Храм Спаса Нерукотворного в Измайлове,Храм,Храм XVIII века.,8
Щёлковская,Арбатско-Покровская линия,Открыта 22 июля 1963 года. Архитекторы И.Г. Таранов и Н.А. Быкова. Конечная до 2012 года.,Терлецкие пруды,Парк,Каскад прудов в лесопарке.,10
Окружная,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической платформы "Окружная" Малого кольца МЖД (1908 г.). Переход на станцию метро "Окружная" Люблинско-Дмитровской линии.,Парк "Окружной",Парк,Благоустроенный парк с детскими площадками и спортивными зонами у станции.,5
Окружная,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической платформы "Окружная" Малого кольца МЖД (1908 г.). Переход на станцию метро "Окружная" Люблинско-Дмитровской линии.,ТЦ "Окружной",ТЦ,Небольшой торговый центр с продуктовым магазином и кафе.,3
Окружная,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической платформы "Окружная" Малого кольца МЖД (1908 г.). Переход на станцию метро "Окружная" Люблинско-Дмитровской линии.,Ж/д платформа Окружная Савёловского направления,Транспортный узел,Пересадка на пригородные электрички Савёловского направления.,2
Владыкино,МЦК,Открыта 10 сентября 2016 года. Тёплый переход на станцию метро "Владыкино" Серпуховско-Тимирязевской линии. Один из крупнейших ТПУ на МЦК.,Станция метро "Владыкино",Транспортный узел,Тёплый переход на Серпуховско-Тимирязевскую линию. Пересадка "сухие ноги".,1
Владыкино,МЦК,Открыта 10 сентября 2016 года. Тёплый переход на станцию метро "Владыкино" Серпуховско-Тимирязевской линии. Один из крупнейших ТПУ на МЦК.,Ботанический сад МГУ "Аптекарский огород" (северный вход),Ботанический сад,Старейший ботанический сад России. Коллекция растений и цветочные фестивали.,12
Владыкино,МЦК,Открыта 10 сентября 2016 года. Тёплый переход на станцию метро "Владыкино" Серпуховско-Тимирязевской линии. Один из крупнейших ТПУ на МЦК.,Парк "Владыкино",Парк,Зелёная зона с прогулочными дорожками и детскими площадками.,6
Ботанический сад,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Ботанический сад" Калужско-Рижской линии пешеходной галереей.,Главный ботанический сад им. Н.В. Цицина РАН,Ботанический сад,Крупнейший ботанический сад Европы. Оранжереи, дендрарий, коллекции растений.,5
Ботанический сад,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Ботанический сад" Калужско-Рижской линии пешеходной галереей.,Станция метро "Ботанический сад",Транспортный узел,Пешеходная пересадка на Калужско-Рижскую линию. Удобный переход.,2
Ботанический сад,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Ботанический сад" Калужско-Рижской линии пешеходной галереей.,Парк "Отрадное",Парк,Спокойный парк со спортивными площадками.,8
Ростокино,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Ярославская" Малого кольца (1908 г.). Пересадка на платформу Северянин Ярославского направления.,Платформа Северянин (Ярославское направление),Транспортный узел,Пересадка на пригородные электрички Ярославского направления.,3
Ростокино,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Ярославская" Малого кольца (1908 г.). Пересадка на платформу Северянин Ярославского направления.,ТРЦ "XL" (в пешей доступности),ТЦ,Крупный торговый центр с гипермаркетом, кинотеатром и фуд-кортом.,7
Ростокино,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Ярославская" Малого кольца (1908 г.). Пересадка на платформу Северянин Ярославского направления.,Парк "Яуза",Парк,Большая зелёная зона вдоль реки Яузы.,10
Белокаменная,МЦК,Открыта 10 сентября 2016 года. Станция на территории национального парка "Лосиный остров". Здесь снимался эпизод фильма "Когда деревья были большими" в 1961 году [citation:2].,Национальный парк "Лосиный остров",Парк,Уникальный лесопарк в черте города. Экотропы, лоси, вековые деревья.,2
Белокаменная,МЦК,Открыта 10 сентября 2016 года. Станция на территории национального парка "Лосиный остров". Здесь снимался эпизод фильма "Когда деревья были большими" в 1961 году [citation:2].,Водонапорная башня (башня-руина),Достопримечательность,Сохранившееся здание времён строительства Малого кольца 1908 года. Псевдоготический стиль.,4
Белокаменная,МЦК,Открыта 10 сентября 2016 года. Станция на территории национального парка "Лосиный остров". Здесь снимался эпизод фильма "Когда деревья были большими" в 1961 году [citation:2].,Яузская аллея,Улица,Пешеходная аллея вдоль путей. Вход в лесопарк.,1
Бульвар Рокоссовского,МЦК,Открыта 10 сентября 2016 года. Названа по одноимённой станции метро. Пересадка на Сокольническую линию. У станции перехватывающая парковка.,Станция метро "Бульвар Рокоссовского",Транспортный узел,Пересадка на Сокольническую линию метро. Пешеходная связь.,2
Бульвар Рокоссовского,МЦК,Открыта 10 сентября 2016 года. Названа по одноимённой станции метро. Пересадка на Сокольническую линию. У станции перехватывающая парковка.,Парк "Бульвар Рокоссовского",Парк,Зелёная зона с прогулочными дорожками.,4
Бульвар Рокоссовского,МЦК,Открыта 10 сентября 2016 года. Названа по одноимённой станции метро. Пересадка на Сокольническую линию. У станции перехватывающая парковка.,ТЦ "Бульвар",ТЦ,Торговый центр с продуктовым и кафе.,3
Локомотив,МЦК,Открыта 10 сентября 2016 года. Названа по стадиону "Локомотив". Тёплый переход на станцию метро "Черкизовская" Сокольнической линии.,Стадион "Локомотив" (РЖД Арена),Стадион,Домашний стадион ФК "Локомотив". Вместимость более 27 000 зрителей.,5
Локомотив,МЦК,Открыта 10 сентября 2016 года. Названа по стадиону "Локомотив". Тёплый переход на станцию метро "Черкизовская" Сокольнической линии.,Станция метро "Черкизовская",Транспортный узел,Тёплая пересадка на Сокольническую линию.,2
Локомотив,МЦК,Открыта 10 сентября 2016 года. Названа по стадиону "Локомотив". Тёплый переход на станцию метро "Черкизовская" Сокольнической линии.,ТРЦ "Город",ТЦ,Крупный ТЦ с кинотеатром и фуд-кортом.,6
Локомотив,МЦК,Открыта 10 сентября 2016 года. Названа по стадиону "Локомотив". Тёплый переход на станцию метро "Черкизовская" Сокольнической линии.,Черкизовский пруд,Парк,Большой пруд с прогулочной зоной.,10
Измайлово,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Измайловский парк". Переход на станцию метро "Партизанская" Арбатско-Покровской линии.,Измайловский парк культуры и отдыха,Парк,Огромный лесопарк с аттракционами и лодочной станцией.,4
Измайлово,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Измайловский парк". Переход на станцию метро "Партизанская" Арбатско-Покровской линии.,Измайловский Кремль,Культура,Деревянный дворец в стиле средневековой Руси. Сувенирный рынок "Вернисаж".,6
Измайлово,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Измайловский парк". Переход на станцию метро "Партизанская" Арбатско-Покровской линии.,Стадион "Измайлово",Стадион,Спортивный комплекс с крытой ареной.,8
Измайлово,МЦК,Открыта 10 сентября 2016 года. Находится на месте исторической станции "Измайловский парк". Переход на станцию метро "Партизанская" Арбатско-Покровской линии.,Станция метро "Партизанская",Транспортный узел,Пересадка на синюю ветку.,3
Соколиная Гора,МЦК,Открыта 10 сентября 2016 года. Названа по исторической местности Соколиная Гора. Район бывших текстильных фабрик XIX-XX веков.,Парк "Соколиная Гора",Парк,Зелёная зона с прогулочными аллеями.,3
Соколиная Гора,МЦК,Открыта 10 сентября 2016 года. Названа по исторической местности Соколиная Гора. Район бывших текстильных фабрик XIX-XX веков.,Храм Живоначальной Троицы на Соколиной Горе,Храм,Православный храм в неорусском стиле.,6
Соколиная Гора,МЦК,Открыта 10 сентября 2016 года. Названа по исторической местности Соколиная Гора. Район бывших текстильных фабрик XIX-XX веков.,ТЦ "Семёновский",ТЦ,Небольшой ТЦ с магазинами.,5
Шоссе Энтузиастов,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Шоссе Энтузиастов" Калининско-Солнцевской линии.,Станция метро "Шоссе Энтузиастов",Транспортный узел,Пересадка на жёлтую ветку.,2
Шоссе Энтузиастов,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Шоссе Энтузиастов" Калининско-Солнцевской линии.,Памятник "Прощание славянки",Памятник,Монумент в честь воинов-автомобилистов. Рядом ТЦ.,4
Шоссе Энтузиастов,МЦК,Открыта 10 сентября 2016 года. Переход на станцию метро "Шоссе Энтузиастов" Калининско-Солнцевской линии.,Стадион "Авангард",Стадион,Спортивная арена.,8
Андроновка,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Фрезер Казанского направления МЖД. Названа по посёлку Андроновка.,Ж/д платформа Фрезер,Транспортный узел,Пересадка на электрички Казанского направления.,3
Андроновка,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Фрезер Казанского направления МЖД. Названа по посёлку Андроновка.,Парк "Андроновка",Парк,Небольшой парк у платформы.,4
Андроновка,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Фрезер Казанского направления МЖД. Названа по посёлку Андроновка.,Андронов виадук,Мост,Исторический железнодорожный мост.,5
Нижегородская,МЦК,Открыта 10 сентября 2016 года. Один из крупнейших ТПУ Москвы. Пересадка на БКЛ и МЦД-4. Станция ранее называлась "Рязанская".,ТПУ "Нижегородская" (пересадка на метро и МЦД),Транспортный узел,Пересадка на Большую кольцевую линию метро и МЦД-4.,1
Нижегородская,МЦК,Открыта 10 сентября 2016 года. Один из крупнейших ТПУ Москвы. Пересадка на БКЛ и МЦД-4. Станция ранее называлась "Рязанская".,Парк "Кузьминки-Люблино",Парк,Усадебный парк с прудами и старинными постройками.,12
Нижегородская,МЦК,Открыта 10 сентября 2016 года. Один из крупнейших ТПУ Москвы. Пересадка на БКЛ и МЦД-4. Станция ранее называлась "Рязанская".,ТЦ "Нижегородский",ТЦ,Торговый центр с продуктовым и кафе.,4
Новохохловская,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Новохохловская Курского направления МЖД. Район бывших промышленных зон.,Ж/д платформа Новохохловская,Транспортный узел,Пересадка на электрички Курского направления.,2
Новохохловская,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Новохохловская Курского направления МЖД. Район бывших промышленных зон.,Парк "Южный",Парк,Зелёная зона с детскими площадками.,6
Новохохловская,МЦК,Открыта 10 сентября 2016 года. Пересадка на платформу Новохохловская Курского направления МЖД. Район бывших промышленных зон.,Храм Тихвинской иконы Божией Матери в Кожухове,Храм,Старинный храм XVIII века.,10
Угрешская,МЦК,Открыта 10 сентября 2016 года. На станции сохранились исторические постройки МОЖД 1908 года: водонапорная башня в псевдоготическом стиле (ныне объект культурного наследия) [citation:3][citation:7].,Водонапорная башня (историческая),Достопримечательность,Красная кирпичная башня в неоготическом стиле. Построена в 1908 году. Памятник архитектуры.,1
Угрешская,МЦК,Открыта 10 сентября 2016 года. На станции сохранились исторические постройки МОЖД 1908 года: водонапорная башня в псевдоготическом стиле (ныне объект культурного наследия) [citation:3][citation:7].,Дома железнодорожников (исторические),Достопримечательность,Жилые дома для служащих МОЖД начала XX века. Модерн, красный кирпич.,3
Угрешская,МЦК,Открыта 10 сентября 2016 года. На станции сохранились исторические постройки МОЖД 1908 года: водонапорная башня в псевдоготическом стиле (ныне объект культурного наследия) [citation:3][citation:7].,Парк "Святой Руси" (у храма),Парк,Ухоженный парк у храмового комплекса.,8
Угрешская,МЦК,Открыта 10 сентября 2016 года. На станции сохранились исторические постройки МОЖД 1908 года: водонапорная башня в псевдоготическом стиле (ныне объект культурного наследия) [citation:3][citation:7].,Свято-Никольский храм в Кожухове,Храм,Православный храм, построенный в 1990-х.,5
Дубровка,МЦК,Открыта 4 ноября 2016 года. Пересадка на станцию метро "Дубровка" Люблинско-Дмитровской линии (тёплый контур).,Станция метро "Дубровка",Транспортный узел,Пересадка на Люблинско-Дмитровскую линию.,2
Дубровка,МЦК,Открыта 4 ноября 2016 года. Пересадка на станцию метро "Дубровка" Люблинско-Дмитровской линии (тёплый контур).,Театр "Школа современной пьесы",Театр,Современный драматический театр.,8
Дубровка,МЦК,Открыта 4 ноября 2016 года. Пересадка на станцию метро "Дубровка" Люблинско-Дмитровской линии (тёплый контур).,Парк "Дубки",Парк,Исторический парк с прудами.,7
Автозаводская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию "Автозаводская" Замоскворецкой линии метро.,Станция метро "Автозаводская",Транспортный узел,Пересадка на зелёную ветку.,2
Автозаводская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию "Автозаводская" Замоскворецкой линии метро.,Парк "Тюфелева роща",Парк,Современный парк на месте бывшего завода ЗИЛ.,8
Автозаводская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию "Автозаводская" Замоскворецкой линии метро.,ТРЦ "Ривьера",ТЦ,Крупный ТЦ с кинотеатром и фуд-кортом.,10
ЗИЛ,МЦК,Открыта 10 сентября 2016 года. Названа по Заводу имени Лихачёва (ЗИЛ). Станция расположена на территории бывшего автомобильного завода.,Парк "Тюфелева роща",Парк,Ландшафтный парк на территории бывшей промзоны.,4
ЗИЛ,МЦК,Открыта 10 сентября 2016 года. Названа по Заводу имени Лихачёва (ЗИЛ). Станция расположена на территории бывшего автомобильного завода.,Дворец спорта "Парк Легенд",Стадион,Спортивный комплекс с хоккейной ареной.,6
ЗИЛ,МЦК,Открыта 10 сентября 2016 года. Названа по Заводу имени Лихачёва (ЗИЛ). Станция расположена на территории бывшего автомобильного завода.,Набережная Марка Шагала,Набережная,Пешеходная набережная с видом на Москву-реку.,7
ЗИЛ,МЦК,Открыта 10 сентября 2016 года. Названа по Заводу имени Лихачёва (ЗИЛ). Станция расположена на территории бывшего автомобильного завода.,Бульвар Братьев Весниных,Улица,Пешеходный бульвар в современном жилом квартале.,5
Верхние Котлы,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Нагатинская" Серпуховско-Тимирязевской линии (наземный переход).,Станция метро "Нагатинская",Транспортный узел,Пересадка на серую ветку.,3
Верхние Котлы,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Нагатинская" Серпуховско-Тимирязевской линии (наземный переход).,Нагатинская пойма (парк 50-летия Октября),Парк,Скейт-парк, вейк-парк, прокат сапбордов.,8
Верхние Котлы,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Нагатинская" Серпуховско-Тимирязевской линии (наземный переход).,Парк "Садовники",Парк,Большой парк с прудами.,12
Крымская,МЦК,Открыта 10 сентября 2016 года. Названа по Крымскому валу. Станция находится рядом с парком искусств "Музеон".,Парк искусств "Музеон",Парк/Музей,Сад скульптур. Бюсты советских вождей и современные инсталляции.,5
Крымская,МЦК,Открыта 10 сентября 2016 года. Названа по Крымскому валу. Станция находится рядом с парком искусств "Музеон".,Крымский мост (пешеходный),Мост,Вантовый мост через Москву-реку. Вид на Парк Горького.,6
Крымская,МЦК,Открыта 10 сентября 2016 года. Названа по Крымскому валу. Станция находится рядом с парком искусств "Музеон".,Центральный дом художника (Новая Третьяковка),Музей,Выставки современного искусства и авангарда.,7
Крымская,МЦК,Открыта 10 сентября 2016 года. Названа по Крымскому валу. Станция находится рядом с парком искусств "Музеон".,Парк Горького (на противоположном берегу),Парк,Главный парк Москвы с набережной и фонтанами.,10
Площадь Гагарина,МЦК,Открыта 10 сентября 2016 года. Единственная подземная станция МЦК. Переход на станцию метро "Ленинский проспект" Калужско-Рижской линии.,Станция метро "Ленинский проспект",Транспортный узел,Пересадка на Калужско-Рижскую линию.,2
Площадь Гагарина,МЦК,Открыта 10 сентября 2016 года. Единственная подземная станция МЦК. Переход на станцию метро "Ленинский проспект" Калужско-Рижской линии.,Памятник Юрию Гагарину,Памятник,Огромный титановый монумент первому космонавту.,3
Площадь Гагарина,МЦК,Открыта 10 сентября 2016 года. Единственная подземная станция МЦК. Переход на станцию метро "Ленинский проспект" Калужско-Рижской линии.,Ленинский проспект,Улица,Главная магистраль Москвы. Здания сталинской эпохи.,1
Площадь Гагарина,МЦК,Открыта 10 сентября 2016 года. Единственная подземная станция МЦК. Переход на станцию метро "Ленинский проспект" Калужско-Рижской линии.,Нескучный сад (южный вход),Парк,Старейший парк Москвы. Усадебные постройки.,15
Лужники,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Спортивная" Сокольнической линии. Станция обслуживает стадион "Лужники".,Стадион "Лужники",Стадион,Главный стадион России. Финал ЧМ-2018. Красивая набережная.,3
Лужники,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Спортивная" Сокольнической линии. Станция обслуживает стадион "Лужники".,Воробьёвы горы (смотровая площадка),Панорама,Лучший вид на Москву. Университет и река.,10
Лужники,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Спортивная" Сокольнической линии. Станция обслуживает стадион "Лужники".,Парк "Воробьёвы горы",Парк,Канатная дорога через Москву-реку.,8
Лужники,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Спортивная" Сокольнической линии. Станция обслуживает стадион "Лужники".,Новодевичий монастырь (вид с МЦК),Храм/Музей,Женский монастырь XVI века. Виден из окна поезда.,15
Кутузовская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Кутузовская" Филёвской линии и МЦД-4.,Станция метро "Кутузовская",Транспортный узел,Пересадка на Филёвскую линию и МЦД-4.,2
Кутузовская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Кутузовская" Филёвской линии и МЦД-4.,Парк Победы на Поклонной горе,Парк,Монумент Победы и музей ВОВ.,10
Кутузовская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Кутузовская" Филёвской линии и МЦД-4.,Бородинская панорама,Музей,Музей-панорама Бородинской битвы.,12
Кутузовская,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Кутузовская" Филёвской линии и МЦД-4.,ТЦ "Кутузовский",ТЦ,Небольшой ТЦ у выхода.,3
Деловой центр,МЦК,Открыта 10 сентября 2016 года. Станция находится вблизи Москвы-Сити. Переход на станцию "Международная" Филёвской линии.,Москва-Сити (башни),Панорама,Деловой центр Москвы. Небоскрёбы "Федерация", "Око", "Эволюция".,5
Деловой центр,МЦК,Открыта 10 сентября 2016 года. Станция находится вблизи Москвы-Сити. Переход на станцию "Международная" Филёвской линии.,Набережная Тараса Шевченко,Набережная,Прогулка вдоль Москвы-реки. Вид на гостиницу "Украина".,4
Деловой центр,МЦК,Открыта 10 сентября 2016 года. Станция находится вблизи Москвы-Сити. Переход на станцию "Международная" Филёвской линии.,Пешеходный мост Багратион,Мост,Торгово-пешеходный мост над Москвой-рекой.,6
Деловой центр,МЦК,Открыта 10 сентября 2016 года. Станция находится вблизи Москвы-Сити. Переход на станцию "Международная" Филёвской линии.,Станция метро "Международная",Транспортный узел,Пересадка на Филёвскую линию.,3
Шелепиха,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Шелепиха" (БКЛ) и "Москва-Сити" (МЦД-4).,Москва-Сити (с набережной),Панорама,Фотопанорама небоскрёбов с противоположного берега.,6
Шелепиха,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Шелепиха" (БКЛ) и "Москва-Сити" (МЦД-4).,Парк "Береговая",Парк,Зелёная зона у набережной.,4
Шелепиха,МЦК,Открыта 10 сентября 2016 года. Пересадка на станцию метро "Шелепиха" (БКЛ) и "Москва-Сити" (МЦД-4).,ТЦ "Хорошевский",ТЦ,Крупный ТЦ с гипермаркетом.,10
Хорошёво,МЦК,Открыта 2 ноября 2016 года. Пересадка на станции метро "Полежаевская" (ТКЛ) и "Хорошёвская" (БКЛ).,Станция метро "Хорошёвская",Транспортный узел,Пересадка на Большую кольцевую линию.,2
Хорошёво,МЦК,Открыта 2 ноября 2016 года. Пересадка на станции метро "Полежаевская" (ТКЛ) и "Хорошёвская" (БКЛ).,Парк "Хорошёвский",Парк,Спортивный парк с площадками.,5
Хорошёво,МЦК,Открыта 2 ноября 2016 года. Пересадка на станции метро "Полежаевская" (ТКЛ) и "Хорошёвская" (БКЛ).,Храм Преображения Господня в Хорошёве,Храм,Старинный храм XVI века.,10
